dispatching_base_number,date,active_vehicles,trips
B02512,2014-04-01,182,1089
B02512,2014-04-02,219,1182
B02512,2014-04-03,229,1021
B02512,2014-04-04,209,1496
B02512,2014-04-05,209,1573
B02512,2014-04-06,182,1735
B02512,2014-04-07,182,1795
B02598,2014-04-01,152,788
B02598,2014-04-02,151,913
B02598,2014-04-03,167,927
B02598,2014-04-04,186,1006
B02598,2014-04-05,195,1081
B02598,2014-04-06,205,1225
B02598,2014-04-07,214,1291
B02617,2014-04-01,93,519
B02617,2014-04-02,100,522
B02617,2014-04-03,111,568
B02617,2014-04-04,136,652
B02617,2014-04-05,145,692
B02617,2014-04-06,149,792
B02617,2014-04-07,161,840
B02512,2014-04-08,199,1138
B02512,2014-04-09,223,1263
B02512,2014-04-10,222,1041
B02512,2014-04-11,209,1526
B02512,2014-04-12,191,1566
B02512,2014-04-13,184,1727
B02512,2014-04-14,185,1830
B02598,2014-04-08,143,766
B02598,2014-04-09,169,914
B02598,2014-04-10,167,931
B02598,2014-04-11,180,954
B02598,2014-04-12,181,1132
B02598,2014-04-13,205,1204
B02598,2014-04-14,208,1299
B02617,2014-04-08,97,543
B02617,2014-04-09,114,598
B02617,2014-04-10,113,581
B02617,2014-04-11,122,682
B02617,2014-04-12,149,703
B02617,2014-04-13,148,763
B02617,2014-04-14,153,826
B02512,2014-04-15,180,1180
B02512,2014-04-16,223,1223
B02512,2014-04-17,231,1038
B02512,2014-04-18,202,1510
B02512,2014-04-19,191,1605
B02512,2014-04-20,175,1721
B02512,2014-04-21,185,1816
B02598,2014-04-15,143,845
B02598,2014-04-16,165,859
B02598,2014-04-17,164,917
B02598,2014-04-18,180,963
B02598,2014-04-19,183,1116
B02598,2014-04-20,198,1154
B02598,2014-04-21,213,1341
B02617,2014-04-15,93,547
B02617,2014-04-16,104,594
B02617,2014-04-17,124,639
B02617,2014-04-18,120,601
B02617,2014-04-19,138,673
B02617,2014-04-20,152,740
B02617,2014-04-21,168,761
B02512,2014-04-22,186,1123
B02512,2014-04-23,215,1235
B02512,2014-04-24,220,995
B02512,2014-04-25,200,1492
B02512,2014-04-26,197,1587
B02512,2014-04-27,186,1737
B02512,2014-04-28,184,1773
B02598,2014-04-22,143,827
B02598,2014-04-23,165,897
B02598,2014-04-24,164,924
B02598,2014-04-25,171,998
B02598,2014-04-26,197,1109
B02598,2014-04-27,204,1239
B02598,2014-04-28,211,1301
B02617,2014-04-22,108,486
B02617,2014-04-23,104,525
B02617,2014-04-24,125,554
B02617,2014-04-25,136,619
B02617,2014-04-26,142,744
B02617,2014-04-27,150,750
B02617,2014-04-28,160,822
